No,Group,Name,Div,Baxter,B (ASCII),Karlgren,Shao,Wang Li,Pulleyblank,Zhengzhang,Li Rong,Pan Wuyun,한국음 (종합),일본음(吳),일본음(漢),만다린 (종합),幇組,見組 등,精組,端組,來,娘,知組,莊組,章組
1,通攝 ung,東一,1,uwng,uwng,uŋ,uŋ,uŋ,əwŋ,uŋ,uŋ,uŋ,옹,uu,ou,"ueng,eng",eng,ong,ong,ong,ong,,,,
2,通攝 ung,東三,3,juwng,juwng,i̯uŋ,iuŋ,ĭuŋ,uwŋ,ɨuŋ,iuŋ,iuŋ,"웅,옹(융)","uu, yuu","uu, yuu","ueng,iong,eng",eng,iong,ong,,ong,,ong,ong,ong
3,通攝 ung,屋一,1,uwk,uwk,uk̚,uk̚,uk̚,əwk̚,uk̚,uk̚,uk̚,옥,oku,oku,u,u,u,u,u,u,,,,
4,通攝 ung,屋三,3,juwk,juwk,i̯uk̚,iuk̚,ĭuk̚,uwk̚,ɨuk̚,iuk̚,iuk̚,"욱,옥(육)","uku, iku","oku, iku","u,ü",u,ü,u ~ iou,,u ~ iou,ㅁㄹ,u ~ iou,u ~ uo,u ~ iou
5,通攝 ung,冬,1,owng,owng,uoŋ,oŋ,uoŋ,awŋ,uoŋ,oŋ,uoŋ,옹,uu,ou,"ueng,eng",eng,ong,ong,ong,ong,,,,
6,通攝 ung,沃,1,owk,owk,uok̚,ok̚,uok̚,awk̚,uok̚,ok̚,uok̚,옥,oku,oku,u,u,u,u,u,u,,,,
7,通攝 ung,鍾,3,jowng,jowng,i̯woŋ,ioŋ,ĭwoŋ,uawŋ,ɨoŋ,ioŋ,ioŋ,"옹(용,융)","uu, yuu","ou, iyuu","ueng,iong,eng",eng,iong,ong,,ong,ong,ong,ong,ong
8,通攝 ung,燭,3,jowk,jowk,i̯wok̚,iok̚,ĭwok̚,uawk̚,ɨok̚,iok̚,iok̚,"옥(욕,육)",oku,"yoku, iyoku","u,ü",u,ü,u,,u,,u,u,u
9,江攝 ong,江,2,æwng,aewng,ɔŋ,ɔŋ,ɔŋ,aɨwŋ,ˠʌŋ,ɔŋ,ᵚɔŋ,앙,"ou, au",au,"uang,iang,ang",ang,iang,,,nope,ㅁㄹ,uang,uang,
10,江攝 ong,覺,2,æwk,aewk,ɔk̚,ɔk̚,ɔk̚,aɨwk̚,ˠʌk̚,ɔk̚,ᵚɔk̚,악,"oku, aku",aku,"uo,üe,o",uo ~ au,üe ~ iao,,,uo,uo,uo,uo,
11,止攝 i,支三開,3,jie,jie,ie̯,jɛ,ǐe,iə̆,iᴇ,ie,iɛ,이(ᄋᆞ),"i, e",i,"i,er",i,i,i,,i,i,i,i,i
12,止攝 i,支三合,3,jwie,jwie,wie̯,juɛ,ǐwe,wiə̆,iuᴇ,iue,ʷiɛ,유,"i, ui","i, ui","ui,uai,i",,uei,uei,,ei,uei,uei,uai,uei
13,止攝 i,支重鈕三開,3,je,je,ie̯,iɛ,ǐe,jiə̆,ˠiᴇ,je,ᵚiɛ,의(이),"i, e",i,"i,er",i,i,i,,i,i,i,i,i
14,止攝 i,支重鈕三合,3,jwe,jwe,wie̯,iuɛ,ǐwe,jwiə̆,ˠiuᴇ,jue,ʷᵚiɛ,위(웨),wi,wi,"ui,uai,i",,uei,uei,,ei,uei,uei,uai,uei
15,止攝 i,脂重鈕四開/脂三開,3,jij,jij,i,jɪ,i,i,iɪ,i,i,이(ᄋᆞ),"e, i",i,"i,er",i,i,i,,i,i,i,i,i
16,止攝 i,脂重鈕四合/脂三合,3,jwij,jwij,wi,juɪ,wi,wi,iuɪ,ui,ʷi,유,ui,ui,"ui,uai,i",,uei,uei,,ei,uei,uei,uai,uei
17,止攝 i,脂重鈕三開,3,ij,ij,i,iɪ,i,ji,ˠiɪ,ji,ᵚi,의(이),"e, i",i,"i,er",i,i,i,,i,i,i,i,i
18,止攝 i,脂重鈕三合,3,wij,wij,wi,iuɪ,wi,jwi,ˠiuɪ,jui,ʷᵚi,"위,웨(외)",wi,wi,"ui,uai,i",,uei,uei,,ei,uei,uei,uai,uei
19,止攝 i,之,3,i,i,i,ie,ĭə,ɨ,ɨ,iə,ɨ,"이(의,ᄋᆞ)","i, o",i,"i,er",i,i,i,,i,i,i,i,i
20,止攝 i,微開,3,jɨj,j+j,e̯i,iəi,ĭəi,ɨj,ɨi,iəi,ɨi,의,"i, e",i,"i,er",,i,,,,,,,
21,止攝 i,微合,3,jwɨj,jw+j,we̯i,iuəi,ĭwəi,uj,ʉi,iuəi,ʷɨi,위(이),wi,wi,"ui,ei,uai",ei,uei,,,,,,,
22,遇攝 o,魚,3,jo,jo,i̯wo,iɔ,ĭo,ɨə̆,ɨʌ,iɔ,iɔ,"여(어,오)","o, yo","o, yo","u,ü,i",,ü,ü,,ü,ü,u,u,u
23,遇攝 o,模,1,u,u,uo,o,u,ɔ,uo,o,uo,오,"o, u",o,u,u,u,u,u,u,,,,
24,遇攝 o,虞,3,ju,ju,i̯u,io,ĭu,uə̆,ɨo,io,io,유(우),"u, yu","u, yu","u,ü",u,ü,ü,,ü,,u,u,u
25,蟹攝 ai,泰開,1,aj,aj,ɑi,ɑi,ɑi,aj,ɑi,ɑi,ɑi,애,ai,ai,"ai,ei",ei,ai,ai,ai,ai,,,,
26,蟹攝 ai,泰合,1,waj,waj,uɑi,uɑi,uɑi,waj,uɑi,uɑi,ʷɑi,외,"ai, we","ai, wai","ui,ei,uei",,uei,uei,uei,ei,,,,
27,蟹攝 ai,廢開,3,joj,joj,i̯ɐi,iɐi,ĭɐi,ɨaj,ɨɐi,iɐi,iɐi,예,ei?,ei,i,,i,,,,,,,
28,蟹攝 ai,廢合,3,jwoj,jwoj,i̯wɐi,iuɐi,ĭwɐi,uaj,ʉɐi,iuɐi,ʷiɐi,예,"ei, e",ei,"ui,ei,uei",ei,uei,,,,,,,
29,蟹攝 ai,夬開,2,æj,aej,ai,ai,æi,aɨjs,ˠai,ai,ᵚai,애,ai,ai?,"ai,ie",ai,e? ㅁㄹ,,,,,ai,ai,
30,蟹攝 ai,夬合,2,wæj,waej,wai,uai,wæi,waɨjs,ˠuai,uai,ʷᵚai,왜(애),"ai, we",wai,"uai,ai",,uai,,,,,,uai,
31,蟹攝 ai,佳開,2,ɛɨ,ea+,ai,æi,ai,aɨj,ˠɛ,ɛ,ᵚæ,애(ᄋᆡ),"ai, e","ai, a","ai,ia",ai,"ie, ia, ai, a",,,,,ㅁㄹ,ai,
32,蟹攝 ai,佳合,2,wɛɨ,wea+,wai,uæi,wai,waɨj,ˠuɛ,uɛ,ʷᵚæ,왜(애),"ai, wa, we","a, wa","uai,ua,ai",,ua,,,,,,,
33,蟹攝 ai,皆開,2,ɛj,eaj,ăi,ɐi,ɐi,əɨj,ˠɛi,ɛi,ᵚæi,ᄋᆡ,"ai, e",ai,"ai,ie",ai,ie,,,ㅁㄹ,,ㅁㄹ,ai,
34,蟹攝 ai,皆合,2,wɛj,weaj,wăi,uɐi,wɐi,wəɨj,ˠuɛi,uɛi,ʷᵚæi,외,we,wai,"uai,ai",,uai,,,ㅁㄹ,,ㅁㄹ,uai,
35,蟹攝 ai,祭重鈕四開/祭三開,3,jiej,jiej,i̯ɛi,jæi,ĭɛi,iaj,iᴇi,iɛi,iɛi,"예,여","ei, ai, e",ei,i,i,i,i,,i,i,i,i,i
36,蟹攝 ai,祭三合/祭重鈕四合,3,jwiej,jwiej,i̯wɛi,iuæi,ĭwɛi,wiaj,iuᴇi,iuɛi,ʷiɛi,예,ei,ei,"ui,uai,i",,uei,uei,,,,uei,uei,uei
37,蟹攝 ai,祭重鈕三開,3,jej,jej,i̯ɛi,iæi,ĭɛi,jiaj,ˠiᴇi,jɛi,ᵚiɛi,에,e,ei?,i,i,i,i,,i,i,i,i,i
38,蟹攝 ai,祭重鈕三合,3,jwej,jwej,i̯wɛi,iuæi,ĭwɛi,jwiaj,ˠiuᴇi,juɛi,ʷᵚiei,위,we,ei,"ui,uai,i",,uei,uei,,,,uei,uei,uei
39,蟹攝 ai,齊開,4,ej,ej,iei,ɛi,iei,ɛj,ei,ei,ei,예,"ei, ai, e",ei,i,i,i,i,i,i,,,,
40,蟹攝 ai,齊合,4,wej,wej,iwei,uɛi,iwei,wɛj,wei,uei,ʷei,여,we,"ei, wei","ui,i,uei",,uei,,,,,,,
41,蟹攝 ai,咍,1,oj,oj,ɑ̆i,ɒi,ɒi,əj,ʌi,ᴀi,əi,ᄋᆡ,"ai, e",ai,ai,ei,ai,ai,ai,ai,,,,
42,蟹攝 ai,灰,1,woj,woj,uɑ̆i,uɒi,uɒi,wəj,uʌi,uᴀi,uoi,외(ᄋᆡ),"ai, ui, we",wai,"ui,ei,uei",ei,uei,uei,uei,ei,,,,
43,臻攝 en,真三/真重鈕四/眞三/眞重鈕四,3,jin,jin,i̯ĕn,jen,ĭĕn,in,iɪn,iĕn,in,인,in,in,"in,en",in,in,in,,in,en?,en,en,en
44,臻攝 en,眞開/真開,3,in,in,i̯ĕn,ien,ǐĕn,jin,ˠiɪn,jĕn,ᵚin,은(인),"in, on",in,"in,en",in,in,in,,in,en?,en,en,en
45,臻攝 en,真合/眞合,3,win,win,i̯ĕn,iuen,ǐĕn,jin,ˠiuɪn,juĕn,ʷᵚin,운,"in, yun","in, yin","un,ün,in",,ün,ün,,un,un,un,,un
46,臻攝 en,臻,3,in,in,i̯æn,ien,ĭen,in,ɪn,iĕn,ɪn,"인,은",in,in,en,in,in,in,,in,en?,en,en,en
47,臻攝 en,諄,3,jwin,jwin,i̯uĕn,juen,ĭuĕn,win,iuɪn,iuĕn,ʷin,윤,"in, yun","in, yin","un,ün,in",,ün,ün,,un,un,un,,un
48,臻攝 en,質重鈕四/質三,3,jit,jit,i̯ĕt̚,jet̚,ĭĕt̚,it̚,iɪt̚,iĕt̚,it̚,일,it,it,i,i,i,i,,i,i,i,,i
49,臻攝 en,質開,3,it,it,i̯ĕt̚,iet̚,ĭĕt̚,jit̚,ˠiɪt̚,jĕt̚,ᵚit̚,을(일),it,wit,i,i,i,i,,i,i,i,,i
50,臻攝 en,質合,3,wit,wit,i̯ĕt̚,iuet̚,ĭĕt̚,jit̚,ˠiuɪt̚,juĕt̚,ʷᵚit̚,올,"it?, ot","it, yit","ü,u,uai",,ü,ü,,ü,,u,uai,u
51,臻攝 en,櫛,3,it,it,i̯æt̚,iet̚,ĭet̚,it̚,ɪt̚,iĕt̚,ɪt̚,을,it,it,e,i,i,i,,i,i,i,,i
52,臻攝 en,術,3,jwit,jwit,i̯uĕt̚,juet̚,ĭuĕt̚,wit̚,iuɪt̚,iuĕt̚,ʷit̚,율,it?. yut,"it, yit","ü,u,uai",,ü,ü,,ü,,u,uai,u
53,臻攝 en,痕,1,on,on,ən,ən,ən,ən,ən,ən,ən,"은,ᄋᆞᆫ",on,on,"un,en",,en,,吞 tun1,,,,,
54,臻攝 en,麧,1,ot,ot,ət̚,ət̚,ət̚,ət̚,ət̚,ət̚,ət̚,을,ot,ot,e,,e,,,,,,,
55,臻攝 en,魂,1,won,won,uən,uən,uən,wən,uən,uən,uon,"온,운","on, un",on,"un,en,uen",en,un,un,un,un,,,,
56,臻攝 en,沒,1,wot,wot,uət̚,uət̚,uət̚,wət̚,uət̚,uət̚,uot̚,"올,울",ot,ot,"u,o",o,u,u,u,u,,,,
57,臻攝 en,欣,3,jɨn,j+n,i̯ən,iən,ĭən,ɨn,ɨn,iən,ɨn,은,on,in,"in,en",,in,,,,,,,
58,臻攝 en,迄,3,jɨt,j+t,i̯ət̚,iət̚,ĭət̚,ɨt̚,ɨt̚,iət̚,ɨt̚,을,ot,it,i,,i,,,,,,,
59,臻攝 en,文,3,jun,jun,i̯uən,iuən,ĭuən,un,ɨun,iuən,iun,운,"on, un","un, yin","un,ün,en",en,ün,,,,,,,
60,臻攝 en,物,3,jut,jut,i̯uət̚,iuət̚,ĭuət̚,ut̚,ɨut̚,iuət̚,iut̚,울,ot,ut,"u,ü",u,ü,,,,,,,
61,山攝 an,寒,1,an,an,ɑn,ɑn,ɑn,an,ɑn,ɑn,ɑn,안,an,an,an,,an,an,an,an,,,,
62,山攝 an,桓,1,wan,wan,uɑn,uɑn,uɑn,wan,uɑn,uɑn,ʷɑn,"완,안",wan,wan,"uan,an",an,uan,uan,uan,uan,,,,
63,山攝 an,曷,1,at,at,ɑt̚,ɑt̚,ɑt̚,at̚,ɑt̚,ɑt̚,ɑt̚,알,at,at,"a,e,o",,e,a,a,a,,,,
64,山攝 an,末,1,wat,wat,uɑt̚,uɑt̚,uɑt̚,wat̚,uɑt̚,uɑt̚,ʷɑt̚,"왈,알",wat,wat,"uo,o",o,uo,uo,uo,uo,,,,
65,山攝 an,元開,3,jon,jon,ɨ̯ɐn,iɐn,ĭɐn,ɨan,ɨɐn,iɐn,iɐn,안,"on, en",en,"ian,an",,ian,,,,,,,
66,山攝 an,元合,3,jwon,jwon,i̯wɐn,iuɐn,ĭwɐn,uan,ʉɐn,iuɐn,ʷiɐn,완,"on, wan","an, wen","uan,üan,an",an,üan,,,,,,,
