Type,Rhyme Group,Baxter,Karlgren,Shao,Wang Li,Pulleyblank,Zhengzhang,Li Rong,Pan Wuyun
脣音 / bilabial,幫,p,p,p,p,p,p,p,p
脣音 / bilabial,滂,ph,pʰ,pʰ,pʰ,pʰ,pʰ,pʰ,pʰ
脣音 / bilabial,並,b,bʱ,b,b,b,b,b,b
脣音 / bilabial,明,m,m,m,m,m,m,m,m
舌頭音 / alveolar,端,t,t,t,t,t,t,t,t
舌頭音 / alveolar,透,th,tʰ,tʰ,tʰ,tʰ,tʰ,tʰ,tʰ
舌頭音 / alveolar,定,d,dʱ,d,d,d,d,d,d
舌頭音 / alveolar,泥,n,n,n,n,n,n,n,n
舌上音 / retroflex,知,tr,ȶ,ȶ,ȶ,ʈ,ʈ,ȶ,ʈ
舌上音 / retroflex,徹,trh,ȶʰ,ȶʰ,ȶʰ,ʈʰ,ʈʰ,ȶʰ,ʈʰ
舌上音 / retroflex,澄,dr,ȡʱ,ȡ,ȡ,ɖ,ɖ,ȡ,ɖ
舌上音 / retroflex,娘,nr,n,n,n,ɳ,ɳ,n,ɳ
齒頭音 / dental,精,ts,t͡s,t͡s,t͡s,t͡s,t͡s,t͡s,t͡s
齒頭音 / dental,清,tsh,t͡sʰ,t͡sʰ,t͡sʰ,t͡sʰ,t͡sʰ,t͡sʰ,t͡sʰ
齒頭音 / dental,從,dz,d͡zʱ,d͡z,d͡z,d͡z,d͡z,d͡z,d͡z
齒頭音 / dental,心,s,s,s,s,s,s,s,s
齒頭音 / dental,邪,z,z,z,z,z,z,z,z
正齒音 / retroflex,莊,tsr,ʈ͡ʂ,t͡ʃ,t͡ʃ,ʈ͡ʂ,t͡ʃ,t͡ʃ,ʈ͡ʂ
正齒音 / retroflex,初,tsrh,ʈ͡ʂʰ,t͡ʃʰ,t͡ʃʰ,ʈ͡ʂʰ,t͡ʃʰ,t͡ʃʰ,ʈ͡ʂʰ
正齒音 / retroflex,崇,dzr,ɖ͡ʐʱ,d͡ʒ,d͡ʒ,ɖ͡ʐ,d͡ʒ,d͡ʒ,ɖ͡ʐ
正齒音 / retroflex,生,sr,ʂ,ʃ,ʃ,ʂ,ʃ,ʃ,ʃ
正齒音 / retroflex,俟,zr,ɖ͡ʐʰ,ʒ,ʒ,ʐ,ʒ,ʒ,ʐ
正齒音 / post-alveolar,章,tsy,t͡ɕ,t͡ɕ,t͡ɕ,c,t͡ɕ,t͡ɕ,t͡ɕ
正齒音 / post-alveolar,昌,tsyh,t͡ɕʰ,t͡ɕʰ,t͡ɕʰ,cʰ,t͡ɕʰ,t͡ɕʰ,t͡ɕʰ
正齒音 / post-alveolar,常,dzy,ʑ,d͡ʑ,ʑ,d͡ʑ,d͡ʑ,ʑ,d͡ʑ
正齒音 / post-alveolar,書,sy,ɕ,ɕ,ɕ,ɕ,ɕ,ɕ,ɕ
正齒音 / post-alveolar,船,zy,d͡ʑʰ,ʑ,d͡ʑ,ʑ,ʑ,d͡ʑ,ʑ
牙音 / velar,見,k,k,k,k,k,k,k,k
牙音 / velar,溪,kh,kʰ,kʰ,kʰ,kʰ,kʰ,kʰ,kʰ
牙音 / velar,群,g,g,ɡ,ɡ,g,ɡ,ɡ,ɡ
牙音 / velar,疑,ng,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ
喉音 / glottal,曉,x,x,x,x,h,h,x,h
喉音 / glottal,匣,h,ɣ,ɣ,ɣ,ɦ,ɦ,ɣ,ɦ
喉音 / glottal,影,',ʔ,ʔ,,ʔ,ʔ,ʔ,ʔ
喉音 / glottal,云,h,,ɣ,ɣ,ɦ,ɦ,ɣ,ɦ
,以,y,,,j,j,j,,j
,來,l,l,l,l,l,l,l,l
,日,ny,ȵʑ,ȵʑ,ȵʑ,ȵ,ȵ,ȵ,ȵ
