"ch","s"
"天","['thyen L']"
"地","['ti H']"
"霄","['syo L']"
"壤","['zyang L']"
"乾","['ken L']"
"坤","['kwon L']"
"宇","['Gwu R']"
"宙","['tyu R']"
"日","['zil H']"
"月","['Gwel H']"
"星","['syeng L']"
"辰","['sin L']"
"隂","['Gum L']"
"陽","['Gyang L']"
"節","['cyel H']"
"候","['hwu R']"
"春","['chyun L']"
"夏","['ha L']"
"秋","['chyu L']"
"冬","['twong L']"
"晝","['tyu R']"
"夜","['Gya R']"
"寒","['han L']"
"暑","['sye R']"
"晌","['syang H']"
"晩","['man L']"
"昏","['hwon L']"
"暮","['mwo L']"
"早","['cwo R']"
"晨","['sin L']"
"曉","['hyo R']"
"曙","['sye R']"
"朔","['sak H']"
"旬","['syun L']"
"望","['mang R']"
"晦","['hwoy R']"
"宵","['syo L']"
"旦","['tan R']"
"朝","['tyo L']"
"夕","['syek H']"
"歲","['syey R']"
"年","['nyen L']"
"閏","['zyun L']"
"臘","['nap H']"
"時","['si L']"
"晷","['kwu L']"
"漏","['lwu R']"
"刻","['kok H']"
"雷","['lwoy L']"
"電","['tyen R']"
"霹","['pyek H']"
"靂","['lyek H']"
"風","['phwung L']"
"雨","['Gwu R']"
"霜","['sang L']"
"露","['lwo R']"
"雪","['syel H']"
"霰","['syen R']"
"氷","['ping L']"
"雹","['pak H']"
"雲","['Gwun L']"
"霞","['ha L']"
"嵐","['nam L']"
"霧","['mwu R']"
"虹","['hwoG L']"
"霓","['Gyey L']"
"蝃","['thyey H']"
"蝀","['twong R']"
"霖","['lim L']"
"涷","['twong R']"
"澇","['lwo H']"
"旱","['han R']"
"山","['san L']"
"嶽","['Gak H']"
"峯","['pwong L']"
"岫","['syu H']"
"壑","['hak H']"
"谷","['kwok H']"
"崖","['Gay L']"
"岸","['Gan R']"
"巖","['Gam L']"
"嶂","['cyang R']"
"嶺","['lyeng R']"
"峴","['hyen R']"
"崗","['kang L']"
"巓","['tyen L']"
"峒","['twong R']"
"麓","['lwok H']"
"丘","['kwu L']"
"原","['Gwen L']"
"皐","['kwo L']"
"阜","['pwu R']"
"坡","['pha L']"
"阪","['phan H']"
"陵","['lung L']"
"陸","['lyuk H']"
"泥","['ni L']"
"土","['thwo H']"
"墈","['kam R']"
"垤","['til H']"
"郊","['kyo L']"
"甸","['tyen R']"
"坪","['phyeng L']"
"野","['Gya R']"
"礓","['kang L']"
"礫","['luk H']"
"沙","['sa L']"
"磧","['cyek H']"
"礁","['chyo L']"
"石","['syek H']"
"島","['two R']"
"嶼","['sye R']"
"湖","['hwo L']"
"海","['hoy R']"
"淵","['Gyen L']"
"川","['chyen L']"
"溪","['kyey L']"
"澗","['kan R']"
"江","['kang L']"
"河","['ha L']"
"汀","['tyeng L']"
"洲","['cyu L']"
"渚","['cye R']"
"沚","['ci H']"
"濤","['two L']"
"浪","['lang R']"
"瀾","['lan L']"
"波","['pha L']"
"津","['cin L']"
"梁","['lyang L']"
"潮","['tyo L']"
"汐","['syek H']"
"灘","['than L']"
"瀨","['lwoy R']"
"湍","['tan L']"
"渦","['Gwa L']"
"浦","['pwo R']"
"漵","['sye R']"
"港","['hang R']"
"汊","['cha L']"
"井","['cyeng R']"
"泉","['chyen L']"
"沼","['syo L']"
"塘","['tang L']"
"洋","['Gyang L']"
"派","['phay R']"
"濆","['pwun L']"
"涯","['Gay L']"
"潭","['tam L']"
"湫","['chyu L']"
"涔","['com L']"
"瀧","['sang L']"
"沮","['cye L']"
"洳","['zye L']"
"窪","['Gwa L']"
"澤","['thoyk L']"
"洿","['Gwo L']"
"潢","['hwang L']"
"瀦","['tye L']"
"陂","['phi L']"
"潦","['lyo R']"
"𤄏","['hwoG']"
"泡","['phwo L']"
